person,day,activity,mood
22,11,2.02,7.29
22,12,4.68,4.41
22,13,2.32,6.29
22,14,4.29,5.02
22,15,3.09,5.99
22,16,2.82,5.87
22,17,3.54,5.33
22,18,3.8,5.35
22,19,3.33,5.38
22,20,4.57,4.5
22,21,3.53,5.45
22,22,4.96,4.54
22,23,4.26,4.7
22,24,3.28,5.17
22,25,3.11,5.29
22,26,2.33,6.08
22,27,4.27,4.51
22,28,3.62,5.32
22,29,1.61,6.67
22,30,3.44,5.33
22,31,3.08,5.6
22,32,5.55,3.7
22,33,2.28,6.77
22,34,2.54,6.39
22,35,5.09,4.19
22,36,5.34,3.87
22,37,3.23,5.56
22,38,3.35,5.66
22,39,4.59,4.73
22,40,1.65,6.71
22,41,2.12,6.57
22,42,3.7,4.79
22,43,5.53,3.89
22,44,3.54,5.61
22,45,4.08,4.92
22,46,5.11,4.62
22,47,6.09,3.17
22,48,3.4,5.59
22,49,3.96,5.08
22,50,5.8,3.59
22,51,2.46,6.26
22,52,5.01,4.28
22,53,2.96,6.1
22,54,4.08,5.34
22,55,3.74,5.27
23,1,7.65,7.29
23,2,6.13,8.55
23,3,7.6,7.96
23,4,6.07,8.24
23,5,7.92,7.32
23,6,9.04,5.88
23,7,6.71,8.14
23,8,4.64,9.71
23,9,6.29,7.98
23,10,8.07,7.18
23,11,7.39,7.53
23,12,7.08,7.34
23,13,7.84,7.47
23,14,7.32,8.04
23,15,8.05,7.46
23,16,7.75,7.42
23,17,8.36,6.86
23,18,7.19,8.11
23,19,7.74,7.76
23,20,6.53,8.59
23,21,6.23,8.31
23,22,8.54,6.75
23,23,7.05,8.0
23,24,7.64,6.97
23,25,6.96,8.08
23,26,6.25,9.1
23,27,6.84,8.22
23,28,8.27,7.28
23,29,7.39,7.67
23,30,5.12,9.42
23,31,6.62,8.33
23,32,8.62,6.44
23,33,6.62,8.0
23,34,5.03,9.82
23,35,8.73,6.89
23,36,7.52,7.27
23,37,6.76,8.36
23,38,6.46,8.34
23,39,7.92,7.28
23,40,6.29,8.61
23,41,7.98,7.4
23,42,7.38,7.65
23,43,7.08,8.22
23,44,6.98,8.03
23,45,6.66,8.36
23,46,7.88,7.02
23,47,5.97,9.3
23,48,5.21,9.48
23,49,7.45,7.75
23,50,7.47,7.16
23,51,7.31,7.48
23,52,7.24,8.05
23,53,6.51,8.39
23,54,7.62,6.96
23,55,6.79,8.36
24,1,4.22,5.76
24,2,6.18,4.41
24,3,4.68,5.3
24,4,4.97,5.26
24,5,5.95,4.64
24,6,3.87,5.93
24,7,3.78,6.09
24,8,4.57,5.54
24,9,5.6,4.45
24,10,3.44,6.43
24,11,3.1,6.83
24,12,5.59,4.71
24,13,4.17,5.88
24,14,4.38,5.78
24,15,2.91,6.79
24,16,4.09,6.18
24,17,4.76,5.83
24,18,5.7,4.61
24,19,4.0,6.21
24,20,6.43,4.08
24,21,4.08,6.11
24,22,4.09,6.41
24,23,6.31,4.37
24,24,4.98,4.86
24,25,4.22,6.02
24,26,4.61,5.9
24,27,6.12,4.33
24,28,6.23,4.54
24,29,3.95,5.95
24,30,4.73,5.13
24,31,4.86,5.43
24,32,3.78,5.82
24,33,4.71,5.45
24,34,4.77,5.79
24,35,5.91,4.08
24,36,5.98,4.18
24,37,4.44,5.47
24,38,4.55,5.62
24,39,5.43,4.85
24,40,4.18,6.29
24,41,5.36,5.24
24,42,4.68,5.66
24,43,3.8,6.28
24,44,3.81,6.33
24,45,6.22,4.1
24,46,4.61,5.81
24,47,6.41,3.88
24,48,4.25,6.09
24,49,5.06,5.53
24,50,7.16,3.61
24,51,3.71,6.27
24,52,2.87,7.09
24,53,6.05,3.72
24,54,3.94,6.21
24,55,4.75,5.46
25,1,4.31,5.74
25,2,5.06,4.85
25,3,4.28,6.37
25,4,3.22,6.99
25,5,4.22,6.18
25,6,4.43,6.06
25,7,4.47,5.93
25,8,4.52,5.68
25,9,5.4,5.0
25,10,3.27,6.64
25,11,4.53,6.39
25,12,5.65,4.98
25,13,2.62,7.15
25,14,4.54,5.85
25,15,3.77,6.09
25,16,3.99,6.55
25,17,3.45,6.43
25,18,4.19,6.13
25,19,6.2,4.67
25,20,3.09,6.98
25,21,3.19,6.83
25,22,3.06,6.92
25,23,6.08,4.48
25,24,3.9,6.1
25,25,4.33,5.78
25,26,3.95,6.57
25,27,3.41,6.6
25,28,4.12,5.86
25,29,6.82,3.78
25,30,5.75,5.03
25,31,3.5,6.72
25,32,5.01,5.5
25,33,3.53,6.47
25,34,2.58,7.44
25,35,5.38,4.9
25,36,5.52,4.88
25,37,5.4,5.28
25,38,3.89,6.47
25,39,4.19,5.76
25,40,5.11,5.06
25,41,4.75,5.59
25,42,3.96,6.62
25,43,2.74,6.69
25,44,4.47,5.85
25,45,5.44,4.67
25,46,3.16,6.67
25,47,5.0,5.27
25,48,4.69,5.5
25,49,5.11,5.14
25,50,5.23,5.18
25,51,3.66,6.3
25,52,2.74,6.8
25,53,3.82,6.5
25,54,5.25,5.35
25,55,3.82,6.52
26,1,2.93,5.58
26,2,4.77,4.33
26,3,5.15,4.23
26,4,3.44,5.52
26,5,4.48,5.0
26,6,4.36,5.07
26,7,6.31,3.65
26,8,6.4,3.55
26,9,2.81,6.52
26,10,6.97,2.91
26,11,3.56,5.71
26,12,5.45,4.25
26,13,5.44,4.16
26,14,3.48,5.6
26,15,4.97,4.43
26,16,4.36,4.79
26,17,5.03,4.57
26,18,4.7,4.7
26,19,5.67,3.78
26,20,4.55,4.68
26,21,4.3,4.74
26,22,5.57,4.27
26,23,5.05,4.46
26,24,5.2,4.1
26,25,3.81,5.64
26,26,3.43,5.6
26,27,3.9,5.01
26,28,3.85,5.66
26,29,5.26,4.14
26,30,5.45,4.02
26,31,4.32,5.04
26,32,5.9,4.05
26,33,5.84,3.81
26,34,4.72,4.41
26,35,3.65,5.7
26,36,6.05,3.52
26,37,4.41,5.43
26,38,4.6,4.8
26,39,4.13,4.62
26,40,3.58,5.71
26,41,3.0,6.57
26,42,5.1,4.79
26,43,3.69,5.99
26,44,7.53,2.2
26,45,3.39,6.0
26,46,3.21,5.73
26,47,4.98,4.55
26,48,6.0,3.36
26,49,4.54,4.69
26,50,5.04,4.28
26,51,2.63,6.6
26,52,3.79,5.65
26,53,3.4,5.83
26,54,2.58,6.08
26,55,4.59,4.73
27,1,5.05,6.99
27,2,6.67,5.86
27,3,6.98,5.96
27,4,6.85,5.72
27,5,5.04,7.45
27,6,3.06,8.86
27,7,4.03,8.33
27,8,7.22,5.35
27,9,5.4,7.42
27,10,5.05,6.98
27,11,7.44,5.0
27,12,7.06,5.19
27,13,5.82,7.07
27,14,5.51,6.94
27,15,5.67,6.53
27,16,6.03,6.64
27,17,7.4,5.4
27,18,6.22,6.66
27,19,6.52,5.54
27,20,6.97,5.5
27,21,4.63,7.32
27,22,6.55,5.41
27,23,5.5,7.01
27,24,3.28,8.45
27,25,3.67,8.39
27,26,4.78,7.91
27,27,6.33,5.99
27,28,5.91,6.31
27,29,5.98,6.39
27,30,7.75,5.19
27,31,4.53,7.38
27,32,5.77,6.37
27,33,6.1,6.53
27,34,5.06,7.19
27,35,5.83,5.97
27,36,4.2,7.48
27,37,7.21,5.75
27,38,5.12,7.15
27,39,7.83,4.69
27,40,5.77,6.49
27,41,6.83,5.69
27,42,5.75,6.73
27,43,5.77,6.19
27,44,5.21,6.76
27,45,5.92,6.48
27,46,6.12,6.23
27,47,5.01,7.28
27,48,5.67,6.3
27,49,5.19,7.08
27,50,8.1,4.94
27,51,5.71,6.7
27,52,7.34,5.3
27,53,5.6,6.64
27,54,6.06,6.09
27,55,4.48,7.54
28,1,6.81,5.21
28,2,5.43,6.93
28,3,4.66,7.05
28,4,5.06,7.4
28,5,5.75,6.49
28,6,5.17,6.55
28,7,6.03,5.98
28,8,6.07,6.28
28,9,6.44,6.06
28,10,6.97,5.35
28,11,6.54,5.72
28,12,4.61,7.44
28,13,4.64,7.26
28,14,5.47,6.24
28,15,5.1,6.66
28,16,4.41,7.47
28,17,5.11,7.16
28,18,5.07,7.29
28,19,4.88,7.24
28,20,5.23,6.83
28,21,6.73,5.75
28,22,5.75,6.18
28,23,8.02,4.49
28,24,5.72,6.16
28,25,5.26,6.42
28,26,5.55,6.58
28,27,5.8,6.34
28,28,5.98,6.33
28,29,7.62,4.98
28,30,4.7,7.24
28,31,6.41,5.96
28,32,5.76,6.33
28,33,3.98,7.86
28,34,6.32,5.71
28,35,6.82,5.58
28,36,4.69,7.36
28,37,5.54,6.34
28,38,3.82,7.9
28,39,4.29,7.35
28,40,6.6,5.53
28,41,5.08,6.6
28,42,4.44,7.71
28,43,5.78,6.59
28,44,5.03,7.06
28,45,5.08,7.37
28,46,6.29,5.86
28,47,4.39,8.19
28,48,4.64,7.17
28,49,5.7,6.44
28,50,6.52,5.63
28,51,6.79,5.61
28,52,4.88,7.24
28,53,6.49,5.73
28,54,4.76,7.58
28,55,7.37,5.1
29,1,5.89,6.43
29,2,4.71,7.58
29,3,6.04,6.48
29,4,5.49,7.09
29,5,5.01,7.08
29,6,4.84,7.36
29,7,8.29,4.58
29,8,5.36,7.12
29,9,4.16,7.64
29,10,4.92,7.54
29,11,5.57,6.89
29,12,6.17,5.96
29,13,6.17,6.59
29,14,6.3,6.75
29,15,4.97,7.5
29,16,5.96,6.81
29,17,4.74,7.45
29,18,5.0,6.81
29,19,4.7,7.0
29,20,4.43,7.74
29,21,6.68,5.73
29,22,6.31,5.95
29,23,6.6,5.93
29,24,5.66,6.85
29,25,6.4,5.75
29,26,3.86,8.03
29,27,6.48,6.42
29,28,5.8,6.32
29,29,6.25,6.45
29,30,6.0,6.3
29,31,4.63,7.66
29,32,4.12,8.2
29,33,4.91,7.48
29,34,6.18,6.51
29,35,6.31,5.89
29,36,4.25,8.1
29,37,4.64,7.3
29,38,4.9,7.37
29,39,5.26,7.08
29,40,4.26,7.94
29,41,4.2,7.95
29,42,4.8,7.18
29,43,5.71,6.32
29,44,4.44,7.89
29,45,5.5,6.87
29,46,6.68,6.17
29,47,4.32,7.76
29,48,5.41,6.54
29,49,6.64,6.15
29,50,5.2,6.97
29,51,5.05,7.27
29,52,6.78,5.64
29,53,5.31,7.39
29,54,6.72,5.63
29,55,6.05,6.3
30,1,5.75,6.93
30,2,4.55,7.63
30,3,5.98,6.37
30,4,7.26,5.8
30,5,5.16,7.39
30,6,6.04,6.08
30,7,2.9,8.92
30,8,5.61,6.87
30,9,5.33,7.25
30,10,4.83,7.68
30,11,6.73,6.01
30,12,5.32,7.21
30,13,5.47,6.96
30,14,5.27,6.93
30,15,3.73,8.27
30,16,4.51,7.71
30,17,6.61,6.02
30,18,3.54,8.02
30,19,4.88,7.32
30,20,5.25,7.14
30,21,7.39,5.34
30,22,6.41,6.12
30,23,5.09,7.37
30,24,6.95,5.49
30,25,4.91,6.99
30,26,6.66,5.91
30,27,4.29,8.08
30,28,6.72,6.36
30,29,5.24,7.32
30,30,4.62,7.26
30,31,5.43,6.92
30,32,5.92,6.64
30,33,5.15,7.24
30,34,6.2,6.49
30,35,5.06,7.04
30,36,6.27,6.32
30,37,6.09,6.55
30,38,5.59,7.06
30,39,5.2,6.95
30,40,5.8,6.59
30,41,6.2,5.69
30,42,7.71,5.0
30,43,6.59,5.92
30,44,6.62,5.77
30,45,8.73,4.37
30,46,6.16,6.37
30,47,6.13,5.85
30,48,6.35,6.29
30,49,4.64,7.38
30,50,5.2,7.28
30,51,5.14,6.89
30,52,6.29,6.29
30,53,5.47,6.87
30,54,5.78,6.77
30,55,6.73,5.96
31,1,7.96,9.19
31,2,6.68,10.21
31,3,6.74,10.2
31,4,7.63,9.82
31,5,8.2,9.09
31,6,7.6,8.97
31,7,8.84,8.74
31,8,7.93,9.03
31,9,7.25,9.69
31,10,7.93,8.79
31,11,8.44,8.84
31,12,8.54,8.46
31,13,10.09,7.41
31,14,7.54,9.35
31,15,8.14,9.43
31,16,8.64,9.04
31,17,8.19,8.92
31,18,7.71,9.3
31,19,6.66,10.03
31,20,7.7,9.57
31,21,7.14,9.66
31,22,6.49,10.16
31,23,7.42,9.77
31,24,7.17,9.59
31,25,8.8,8.41
31,26,8.81,8.01
31,27,7.31,9.79
31,28,7.95,9.58
31,29,6.35,10.5
31,30,7.72,9.65
31,31,8.61,8.36
31,32,9.04,8.29
31,33,7.5,9.22
31,34,9.26,7.99
31,35,6.7,10.29
31,36,6.96,9.91
31,37,8.92,7.97
31,38,9.88,7.22
31,39,8.71,8.15
31,40,8.17,9.04
31,41,6.02,10.5
31,42,6.19,10.5
31,43,8.34,8.31
31,44,7.85,9.53
31,45,7.11,10.01
31,46,8.28,8.45
31,47,8.33,8.72
31,48,9.16,8.41
31,49,8.35,8.92
31,50,9.44,7.58
31,51,8.22,9.03
31,52,8.1,8.45
31,53,9.28,7.98
31,54,7.23,9.95
31,55,10.5,6.64
32,1,3.89,5.44
32,2,5.28,4.9
32,3,5.37,4.51
32,4,5.7,4.54
32,5,5.26,4.47
32,6,5.47,4.55
32,7,5.12,4.87
32,8,4.66,5.12
32,9,4.48,5.4
32,10,4.15,5.5
32,11,3.18,6.18
32,12,3.44,6.54
32,13,4.11,5.86
32,14,4.63,4.99
32,15,5.83,4.36
32,16,4.35,5.22
32,17,5.39,4.27
32,18,5.47,4.77
32,19,4.16,5.13
32,20,4.99,5.13
32,21,4.15,5.5
32,22,5.71,4.26
32,23,5.03,4.97
32,24,3.2,6.47
32,25,4.55,5.04
32,26,6.04,4.23
32,27,4.21,5.55
32,28,4.84,4.7
32,29,4.94,4.89
32,30,3.35,6.55
32,31,4.9,5.38
32,32,3.0,6.67
32,33,3.76,5.58
32,34,5.47,4.63
32,35,4.75,5.3
32,36,4.09,5.8
32,37,4.84,5.21
32,38,4.33,5.51
32,39,4.4,5.34
32,40,5.05,4.7
32,41,3.66,5.48
32,42,4.43,5.43
32,43,4.08,5.67
32,44,2.8,6.78
32,45,3.47,5.77
32,46,5.96,4.28
32,47,4.78,5.58
32,48,3.07,6.45
32,49,2.85,6.59
32,50,4.28,5.54
32,51,5.95,4.63
32,52,4.2,5.27
32,53,5.7,4.38
32,54,4.74,4.89
32,55,4.86,4.86
33,1,4.18,4.87
33,2,5.58,4.48
33,3,6.03,3.66
33,4,4.68,5.18
33,5,3.86,5.51
33,6,6.72,3.56
33,7,3.8,5.61
33,8,3.66,5.87
33,9,2.46,6.8
33,10,5.63,4.24
33,11,5.2,4.51
33,12,6.65,3.21
33,13,2.84,6.79
33,14,5.69,3.81
33,15,4.3,5.15
33,16,5.04,4.56
33,17,2.58,6.62
33,18,5.7,3.92
33,19,5.02,4.65
33,20,4.19,5.19
33,21,4.88,4.29
33,22,3.47,5.82
33,23,3.65,5.39
33,24,3.77,5.14
33,25,2.38,6.72
33,26,5.09,4.63
33,27,5.42,4.38
33,28,3.53,5.9
33,29,4.58,4.44
33,30,3.97,5.07
33,31,4.56,5.43
33,32,3.6,5.44
33,33,3.35,6.06
33,34,5.28,4.19
33,35,4.17,5.27
33,36,6.25,3.42
33,37,4.28,5.3
33,38,3.31,5.98
33,39,5.46,4.11
33,40,4.86,4.43
33,41,4.96,4.69
33,42,5.42,3.94
33,43,3.58,5.83
33,44,4.1,5.96
33,45,4.06,5.68
33,46,2.94,6.41
33,47,3.97,5.39
33,48,5.57,3.65
33,49,4.47,4.68
33,50,2.89,6.6
33,51,2.68,6.25
33,52,5.9,3.69
33,53,4.14,5.23
33,54,3.58,5.45
33,55,3.96,5.11
34,1,3.73,5.28
34,2,2.89,6.03
34,3,3.04,5.64
34,4,3.0,6.09
34,5,4.3,4.5
34,6,3.55,5.44
34,7,3.6,5.7
34,8,4.38,4.96
34,9,3.64,5.63
34,10,3.5,5.57
34,11,4.25,5.28
34,12,4.45,5.06
34,13,3.63,5.6
34,14,3.86,5.53
34,15,3.0,6.18
34,16,2.92,5.95
34,17,4.55,4.42
34,18,4.22,5.12
34,19,4.23,5.14
34,20,4.06,5.41
34,21,3.83,5.1
34,22,4.48,4.58
34,23,4.71,4.73
34,24,4.69,4.62
34,25,3.68,4.98
34,26,5.17,4.35
34,27,4.01,4.72
34,28,4.41,4.62
34,29,4.06,5.48
34,30,4.03,5.63
34,31,3.04,5.65
34,32,4.48,4.72
34,33,6.62,3.1
34,34,3.4,6.11
34,35,3.85,5.19
34,36,3.33,5.6
34,37,3.29,6.14
34,38,5.32,4.04
34,39,3.11,6.09
34,40,3.31,5.38
34,41,2.19,6.59
34,42,3.02,5.56
34,43,2.07,6.47
34,44,4.41,5.07
34,45,6.58,3.11
34,46,3.41,5.58
34,47,2.11,6.51
34,48,4.68,4.59
34,49,3.05,6.02
34,50,5.08,4.57
34,51,3.5,4.94
34,52,3.15,5.66
34,53,3.6,5.55
34,54,4.54,4.74
34,55,3.55,5.65
35,1,6.19,6.18
35,2,5.62,7.01
35,3,5.4,7.5
35,4,5.68,6.94
35,5,7.07,5.88
35,6,5.19,7.25
35,7,5.86,6.46
35,8,6.11,6.39
35,9,7.48,5.11
35,10,5.62,6.58
35,11,6.88,6.0
35,12,7.16,5.4
35,13,5.86,6.79
35,14,5.71,6.51
35,15,5.59,7.0
35,16,5.67,6.75
35,17,6.78,6.33
35,18,6.15,6.56
35,19,6.16,6.78
35,20,4.8,7.37
35,21,4.96,7.45
35,22,8.07,4.7
35,23,5.75,6.7
35,24,5.15,7.22
35,25,7.36,5.34
35,26,6.21,6.13
35,27,6.5,5.85
35,28,5.79,6.19
35,29,5.61,6.65
35,30,5.75,6.96
35,31,4.54,7.37
35,32,5.84,6.39
35,33,6.22,6.87
35,34,7.77,5.02
35,35,6.01,6.67
35,36,3.59,8.69
35,37,5.83,6.9
35,38,8.66,4.09
35,39,6.79,5.91
35,40,5.11,6.91
35,41,6.52,6.8
35,42,5.18,6.86
35,43,4.57,7.48
35,44,5.58,6.68
35,45,6.02,6.22
35,46,4.05,8.5
35,47,4.77,8.19
35,48,5.93,6.54
35,49,5.52,6.66
35,50,6.32,5.79
35,51,4.71,7.57
35,52,6.64,6.01
35,53,4.74,7.45
35,54,7.57,5.4
35,55,4.21,8.13
